1529,Ljubljana,Žito,Slovenija
1532,Ljubljana,Salamonov oglasnik,Slovenija
1533,Ljubljana,BTC,Slovenija
1534,Ljubljana,Okrajno sodišče v Ljubljani,Slovenija
1535,Ljubljana,Ministrstvo za promet,Slovenija
1536,Ljubljana,Mladinska knjiga Založba,Slovenija
1537,Ljubljana,"Mobitel, d.d.",Slovenija
1538,Ljubljana,DZS,Slovenija
1540,Ljubljana,"EPPS, Elektron. pismo Pošte Slov.",Slovenija
1542,Ljubljana,KDD - Centralna klirinško depotna družba,Slovenija
1543,Ljubljana,Športna loterija,Slovenija
1544,Ljubljana,Kolinska,Slovenija
1545,Ljubljana,Kanal A,Slovenija
1546,Ljubljana,Telekom Slovenije,Slovenija
1547,Ljubljana,"Telekom Slovenije, PE Ljubljana",Slovenija
1550,Ljubljana,RTV Slovenija,Slovenija
1600,Ljubljana,"Pošta Slovenije d.o.o., PE Ljubljana",Slovenija
1004,Ljubljana - carinska pošta,"",Slovenija
1231,Ljubljana - Črnuče,"",Slovenija
1261,Ljubljana - Dobrunje,"",Slovenija
1260,Ljubljana - Polje,"",Slovenija
1002,Ljubljana - poštni center,"",Slovenija
1210,Ljubljana - Šentvid,"",Slovenija
1211,Ljubljana - Šmartno,"",Slovenija
3333,Ljubno ob Savinji,"",Slovenija
9240,Ljutomer,"",Slovenija
3215,Loče,"",Slovenija
5231,Log pod Mangartom,"",Slovenija
1358,Log pri Brezovici,"",Slovenija
1370,Logatec,"",Slovenija
1434,Loka pri Zidanem Mostu,"",Slovenija
3223,Loka pri Žusmu,"",Slovenija
6219,Lokev,"",Slovenija
1318,Loški Potok,"",Slovenija
2324,Lovrenc na Dravskem polju,"",Slovenija
2344,Lovrenc na Pohorju,"",Slovenija
3334,Luče,"",Slovenija
1225,Lukovica,"",Slovenija
9202,Mačkovci,"",Slovenija
2322,Majšperk,"",Slovenija
2321,Makole,"",Slovenija
9243,Mala Nedelja,"",Slovenija
2229,Malečnik,"",Slovenija
6273,Marezige,"",Slovenija
2508,Maribor,Okrajno sodišče v Mariboru,Slovenija
2000,Maribor,"",Slovenija
2001,Maribor,"",Slovenija
2500,Maribor,Pošta Slovenije d.o.o.,Slovenija
2501,Maribor,Upravna enota Maribor,Slovenija
2502,Maribor,"Davčna uprava RS, izpostava Maribor",Slovenija
2503,Maribor,Okrajno in okrožno sodišče v Mariboru,Slovenija
2504,Maribor,Večer,Slovenija
2505,Maribor,Nova Kreditna banka Maribor,Slovenija
2506,Maribor,Henkel Slovenija,Slovenija
2507,Maribor,Zavarovalnica Maribor,Slovenija
2509,Maribor,Elektro Maribor,Slovenija
2600,Maribor,"Pošta Slovenije d.o.o., PE Maribor",Slovenija
2603,Maribor,"Pošta Slovenije d.o.o., Skladišče Maribor",Slovenija
2609,Maribor,"Pošta Slovenije d.o.o., Paketni ekspedit",Slovenija
2610,Maribor,"Pošta Slovenije d.o.o., Centralna RA pisarna",Slovenija
2002,Maribor - poštni center,"",Slovenija
2206,Marjeta na Dravskem polju,"",Slovenija
2281,Markovci,"",Slovenija
9221,Martjanci,"",Slovenija
6242,Materija,"",Slovenija
4211,Mavčiče,"",Slovenija
1215,Medvode,"",Slovenija
1234,Mengeš,"",Slovenija
8330,Metlika,"",Slovenija
2392,Mežica,"",Slovenija
2204,Miklavž na Dravskem polju,"",Slovenija
2275,Miklavž pri Ormožu,"",Slovenija
5291,Miren,"",Slovenija
8233,Mirna,"",Slovenija
8216,Mirna Peč,"",Slovenija
2382,Mislinja,"",Slovenija
4281,Mojstrana,"",Slovenija
8230,Mokronog,"",Slovenija
1251,Moravče,"",Slovenija
9226,Moravske Toplice,"",Slovenija
5216,Most na Soči,"",Slovenija
1221,Motnik,"",Slovenija
3330,Mozirje,"",Slovenija
9600,Murska Sobota,"Pošta Slovenije d.o.o., PE Murska Sobota",Slovenija
9501,Murska Sobota,Mura,Slovenija
9000,Murska Sobota,"",Slovenija
9001,Murska Sobota,"",Slovenija
2366,Muta,"",Slovenija
4202,Naklo,"",Slovenija
4501,Naklo,Merkur,Slovenija
3331,Nazarje,"",Slovenija
1357,Notranje Gorice,"",Slovenija
3203,Nova Cerkev,"",Slovenija
5000,Nova Gorica,"",Slovenija
5001,Nova Gorica,"",Slovenija
5600,Nova Gorica,"Pošta Slovenije d.o.o., PE Nova Gorica",Slovenija
8600,Nova mesto,"Pošta Slovenije d.o.o., PE Novo mesto",Slovenija
